,Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
0,1,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),168,1,(x111),"8,788,256","+35,645","65,806,429","-1,084,819","1,672,632,001"
1,2,=,Bad Bunny - DtMF,26,1,(x16),"8,488,704","-88,378","65,855,640","-2,109,787","263,329,687"
2,3,=,ROSÉ - APT. (w/ Bruno Mars),105,1,(x28),"7,492,696","-61,161","56,496,455","-677,545","990,021,017"
3,4,=,Bad Bunny - BAILE INoLVIDABLE,26,3,(x1),"6,058,823","+63,893","43,608,685","-641,335","176,487,109"
4,5,=,Bad Bunny - NUEVAYoL,26,5,,"5,062,254","-7,870","39,126,640","-1,080,668","163,999,813"
5,6,=,Billie Eilish - BIRDS OF A FEATHER,259,1,(x25),"4,951,261","+4,553","39,336,070","-1,250,903","1,931,035,781"
6,7,=,Gracie Abrams - That’s So True,105,3,(x7),"4,851,295","-31,037","37,582,396","-985,022","580,900,846"
7,8,=,Lola Young - Messy,59,8,,"4,549,947","-7,762","33,432,430","-196,235","204,605,892"
8,9,=,Jimin - Who,196,1,(x20),"4,095,626","+16,426","28,961,186","-108,843","1,201,278,492"
9,10,=,Bad Bunny - VOY A LLeVARTE PA PR,26,7,,"4,066,194","+2,986","32,451,496","-1,016,392","135,537,158"
10,11,=,Kendrick Lamar - luther,70,3,(x4),"3,715,871","-3,898","28,884,944","-699,295","343,258,258"
11,12,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",26,8,,"3,600,231","+15,924","27,106,943","-579,709","119,179,331"
12,13,+1,The Weeknd - Timeless (w/ Playboi Carti),126,2,(x1),"3,569,395","+65,681","26,217,026","-353,395","491,903,913"
13,14,-1,Bad Bunny - EoO,26,9,,"3,566,579","+13,604","26,951,833","-637,473","111,304,116"
14,15,=,Gigi Perez - Sailor Song,166,6,,"3,427,477","-14,511","26,180,699","-665,744","598,841,537"
15,16,=,Sabrina Carpenter - Espresso,294,1,(x32),"3,215,206","+5,310","23,667,357","-283,796","1,858,412,015"
16,17,+1,Billie Eilish - WILDFLOWER,259,9,,"3,123,533","-30,877","23,043,479","-441,697","778,260,622"
17,18,+1,Travis Scott - 4X4,7,15,,"3,121,129","+95,092","22,776,370","+3,121,129","22,776,370"
18,19,-2,Tate McRae - Sports car,7,17,,"3,031,458","-164,952","20,279,303","+3,031,458","20,279,303"
19,20,=,Bad Bunny - WELTiTA (w/ Chuwi),26,10,,"2,920,993","-32,566","23,270,233","-911,296","106,953,278"
20,21,=,Neton Vega - Loco,35,16,,"2,870,837","+66,021","22,491,896","-473,105","95,926,857"
